time,target,master_offset,freq,path_delay
1736660918,0.5001380443572998,-72392,-239176,1108205
1736660921,0.5000441074371338,-117584,-115909,1081650
1736660923,0.5000226497650146,-69812,-59052,1048874
1736660926,0.5000066757202148,-128911,-39930,847357
1736660927,0.5000424385070801,-136103,-85795,879214
1736660929,0.5001204013824463,-469423,-316382,943569
1736660930,0.5001490116119385,-304050,-291836,943569
1736660931,0.5000178813934326,78199,-802,879214
1736660935,0.5002334117889404,-687803,-564223,1167982
1736660936,0.5000853538513184,-40588,-123349,1167982
1736660938,0.5012936592102051,-4684718,-3374763,1283811
1736660939,0.5008080005645752,-1323389,-1418849,1283811
1736660940,0.500237226486206,124301,-368176,1217147
1736660943,0.4999916553497314,106095,-9168,1383835
1736660945,0.5,-19757,-18278,1247468
1736660948,0.5000073909759521,-78988,-23894,1097957
1736660949,0.500072717666626,-186417,-155020,1143135
1736660952,0.5000734329223633,-239606,-182223,1238966
1736660954,0.500077486038208,-178572,-173544,1238966
1736660957,0.5000021457672119,8978,-3271,1196630
1736660958,0.5000107288360596,-10406,-19962,1196630
1736660961,0.5000400543212891,-166301,-100668,1146226
1736660964,0.5001742839813232,-822927,-496304,1047709
1736660965,0.5001060962677002,-257397,-177652,1047709
1736660966,0.500042200088501,-72852,-70326,904696
1736660968,0.5000312328338623,-111660,-81432,887844
1736660973,0.500037431716919,-216223,-105107,894504
1736660974,0.5000238418579102,-83870,-37621,883506
1736660975,0.5000741481781006,-177833,-156745,883506
1736660978,0.5000030994415283,-9116,-7895,929873
1736660980,0.500065803527832,-165959,-148653,929873
1736660982,0.5000247955322266,-84054,-65822,954264
1736660983,0.5000224113464355,-31353,-38337,971196
1736660984,0.5000660419464111,-122640,-139030,1046790
1736660986,0.5006895065307617,-2124609,-1692273,1584943
1736660988,0.5005552768707275,-1397143,-1309324,1905694
1736660989,0.5000953674316406,268464,-62860,1584943
1736660990,0.5000097751617432,239759,-11026,1584943
1736660997,0.500140905380249,-577907,-359964,908287
1736661000,0.5002732276916504,-795159,-642290,981323
1736661001,0.500046968460083,55116,-30563,981323
1736661002,0.5001187324523926,-186727,-255871,1040489
1736661003,0.500018835067749,114590,-10572,1040489
1736661005,0.5000340938568115,-39990,-80002,1139772
1736661011,0.5001323223114014,-506213,-340866,1075566
1736661012,0.5000638961791992,-113984,-100501,1075566
1736661014,0.5006051063537598,-2201206,-1571425,1075566
1736661015,0.5003151893615723,-492963,-523544,1004164
1736661016,0.5000810623168945,59545,-118925,1004164
1736661018,0.5000002384185791,75524,-7175,938768
1736661022,0.500234842300415,-721892,-551889,938768
1736661025,0.5003178119659424,-1107981,-814806,825512
1736661026,0.5001108646392822,-115025,-154245,825512
1736661028,0.5000178813934326,54423,-19304,825512
1736661034,0.5008540153503418,-2969903,-2167042,958770
1736661035,0.5005996227264404,-1002892,-1091002,1171292
1736661036,0.5000905990600586,310844,-78133,1171292
1736661038,0.5000262260437012,126228,-61286,1136578
1736661043,0.500521183013916,-1934184,-1354827,1188209
1736661044,0.5002779960632324,-464281,-465179,1099049
1736661046,0.5007688999176025,-2519483,-1946094,1393204
1736661047,0.500363826751709,-410500,-592956,1099049
1736661048,0.5000796318054199,196868,-108738,1099049
1736661052,0.5000360012054443,-147226,-90454,738794
1736661055,0.5000085830688477,-74173,-25823,761703
1736661057,0.5000407695770264,-107431,-87396,761703
1736661058,0.5000138282775879,-5096,-17290,761703
1736661060,0.5002963542938232,-989547,-743343,857233
1736661061,0.500157356262207,-214607,-265267,857233
1736661062,0.5000154972076416,113105,-1937,914720
1736661064,0.5000705718994141,-99283,-153703,970825
1736661068,0.5000045299530029,-56498,-22239,970825
1736661069,0.5000934600830078,-217874,-200564,1116124
1736661073,0.5000030994415283,-55050,-8421,873637
1736661074,0.5001332759857178,-320409,-290295,1057601
1736661078,0.5000414848327637,-190765,-109053,841714
